key	zh	en	es	fr	de	it	ja	ko	pt-BR	ru
ST06_VIRIDIANA/DLG_0602_A_0	就这样吧	So be it.	Que así sea.	Ainsi soit-il.	So soll es sein.	Così sia.	その意志のままに	그렇게 하겠습니다.	Que assim seja.	Да будет так.
ST06_VIRIDIANA/DLG_0602_B_0	就这样吧	So be it.	Que así sea.	Ainsi soit-il.	So soll es sein.	Così sia.	その意志のままに	그렇게 하겠습니다.	Que assim seja.	Да будет так.
ST06_VIRIDIANA/DLG_0602_C_0	就这样吧	So be it.	Que así sea.	Ainsi soit-il.	So soll es sein.	Così sia.	その意志のままに	그렇게 하겠습니다.	Que assim seja.	Да будет так.
ST06_VIRIDIANA/DLG_0603_A_0	我会留在这儿，你改主意了可以来找我	Here I shall remain, lest you change your mind.	Aquí permaneceré si cambiais de parecer.	Je resterai ici, au cas où vous changiez d'avis.	Ich werde hier warten, solltet Ihr Eure Meinung ändern.	Qui resterò, se cambierete idea.	あなたの意志が変わった時に備え 私はここに残りましょう	당신의 마음이 변할 때까지 전 여기에 있겠습니다.	Aqui permanecerei, caso mude de ideia.	Здесь найдешь ты меня, ежели изменишь решение свое.
ST06_VIRIDIANA/DLG_0603_B_0	我会留在这儿，你改主意了可以来找我	Here I shall remain, lest you change your mind.	Aquí permaneceré si cambiais de parecer.	Je resterai ici, au cas où vous changiez d'avis.	Ich werde hier warten, solltet Ihr Eure Meinung ändern.	Qui resterò, se cambierete idea.	あなたの意志が変わった時に備え 私はここに残りましょう	당신의 마음이 변할 때까지 전 여기에 있겠습니다.	Aqui permanecerei, caso mude de ideia.	Здесь найдешь ты меня, ежели изменишь решение свое.
ST06_VIRIDIANA/DLG_0603_C_0	我会留在这儿，你改主意了可以来找我	Here I shall remain, lest you change your mind.	Aquí permaneceré si cambiais de parecer.	Je resterai ici, au cas où vous changiez d'avis.	Ich werde hier warten, solltet Ihr Eure Meinung ändern.	Qui resterò, se cambierete idea.	あなたの意志が変わった時に備え 私はここに残りましょう	당신의 마음이 변할 때까지 전 여기에 있겠습니다.	Aqui permanecerei, caso mude de ideia.	Здесь найдешь ты меня, ежели изменишь решение свое.
ST06_VIRIDIANA/DLG_0604_0	忏悔者，不要为我或我现在已面目全非的外貌而忧愁。这可能是…为了这个快乐的联盟所需的一个小代价	Penitent One, do not be troubled by me or my outward appearance, now changed and seasoned. This might be... a small price to pay for such joyous alliance.	Penitente, no os preocupeis por mí y mi apariencia ahora cambiada y madura. Puede... que este sea un pequeño precio a pagar por tan dichosa alianza.	Pénitent, ne vous troublez pas de ma présence ni de mon apparence, changée et âgée. Ce serait... un prix modique à payer pour une alliance si grandiose.	Büßer, lasst Euch nicht von mir oder meiner äußeren Erscheinung ängstigen, da ich verändert und gealtert bin. Dies könnte ... ein kleiner Preis für eine so glückliche Allianz sein.	Penitente, non lasciatevi turbare da me o dal mio aspetto esteriore, oggi mutato e appassito. Potrebbe essere... un prezzo esiguo da pagare per un'alleanza tanto fortunata.	悔悟者よ 私の姿は老い変わってしまいましたが@どうか私の見た目のことは心配ならさぬよう@これは……あのような歓喜極まる協力に必要な 些細な代償でしょう	참회자여, 변하고 노쇠한 나의 외모에 괴로워하지 마세요. 이건... 기쁨을 주는 동반 관계를 생각하면 작은 대가일 뿐입니다.	Penitente, não se aflija comigo ou com minha aparência externa, já mudada e envelhecida. Talvez seja... um pequeno preço por uma aliança tão jubilosa.	Кающийся, пусть не смущаю тебя я или мой облик, ибо изменилась я и состарилась. Это... малая цена, которую я плачу за столь радостный союз.
ST06_VIRIDIANA/DLG_0605_0	不要理会我皮肤的皱纹，我银白的头发，还有我颤抖的双腿。我们的约定还没有缔结，你的艰苦事业也没有结束	Pay no heed to the wrinkles of my skin, the hair that grows silvery or my trembling legs. Our pact has yet to be concluded, as has your arduous enterprise.	No prestéis atención a las arrugas de mi piel, al pelo que crece gris o a mis temblorosas piernas. Nuestro pacto aún está por concluir, así también vuestra ardua empresa.	Ne vous souciez pas des rides de ma peau, de mes cheveux d'argent ou de mes jambes tremblantes. Notre pacte n'est pas encore conclu, et votre pénible aventure non plus.	Schenkt den Falten auf meiner Haut keine Beachtung, dem Haar, das silbern über meine zitternden Beine fällt. Unser Pakt muss erst noch abgeschlossen werden, ebenso wie unsere mühevolle Aufgabe.	Non badate alle rughe sulla mia pelle, né ai miei capelli che ingrigiscono o alle mie gambe malferme. Il nostro patto deve ancora essere concluso, così come la vostra ardua impresa.	この皮膚のしわや 銀色と化した毛髪 震える四肢についてはお気になさらず@我々の間で結ばれた協定 そしてあなたの@困難極まる使命は まだ終わっていません	주름진 내 피부나, 은빛이 되어버린 내 머리카락이나, 떨리는 내 다리에는 신경 쓰지 마세요. 당신의 고된 사명처럼 우리의 맹약은 아직 결론 나지 않았어요.	Não preste atenção nas rugas da minha pele, no cabelo já prateado ou em minhas pernas trêmulas. Nosso pacto ainda precisa ser concluído, assim como sua atividade árdua.	Не смотри на морщины кожи моей, на тронутые сединой волосы мои, на дрожащие ноги мои. Наш пакт должен быть заключен, ибо тяжело исполнить намерения твои.
ST06_VIRIDIANA/DLG_0606_0	能为这次胜利出力，我非常荣幸	I feel fortunate to partake in this victory.	Me siento dichosa al compartir esta victoria.	Je me sens bénie de participer à cette victoire.	Ich bin glücklich, an diesem Sieg teilhaben zu dürfen.	Mi sento fortunata a poter condividere questa vittoria.	この勝利に貢献できたことを 私は幸運に思います	이 승리에 동참하게 된 것을 행운으로 생각해요.	Sinto-me feliz por fazer parte dessa vitória.	Я рада принять участие в этой победе.
ST06_VIRIDIANA/DLG_0606_1	在我离开前，我希望你能记住我的话语，从而记住我们的约定	Before I depart, I want these words to accompany you, so that you remember our pact.	Antes de mi marcha quiero que os acompañen estas palabras para que recordéis nuestro pacto.	Avant de partir, je veux que ces paroles vous accompagnent, pour à jamais vous rappeler notre pacte.	Bevor ich gehe, will ich Euch diese Worte mit auf den Weg geben, damit Ihr Euch an unseren Pakt erinnert.	Prima ch'io me ne vada, voglio lasciarvi queste parole affinché vi accompagnino e vi ricordino il nostro patto.	この言葉だけはあなたと共にあらんことを@さすれば あなたが我々の協定を忘れることはないでしょう	출발하기 전에 우리의 맹약을 기억할 수 있도록 이 말씀이 당신과 함께했으면 좋겠어요.	Antes de partir, quero que estas palavras acompanhem você, para que se lembre de nosso pacto.	Пока я здесь, я хочу, чтобы эти слова сопровождали тебя, чтобы помнил ты о пакте нашем.
ST06_VIRIDIANA/DLG_0607_0	沉默的忏悔者，继续你的旅程吧	Penitent One in silence, now resume your journey.	Penitente en el silencio, continuad ahora con vuestro viaje.	Pénitent du silence, reprenez votre voyage.	Stummer Büßer, setzt Eure Reise nun fort.	Ora proseguite il vostro cammino, Penitente senza più il dono della parola.	さあ 言葉紡がぬ悔悟者よ 旅を再開するのです	침묵의 참회자여, 이제 여정을 다시 재개하세요.	Penitente silencioso, continue sua jornada.	Продолжи свой путь, Безмолвно Кающийся.
ST06_VIRIDIANA/DLG_0608_A_0	你所寻找的目标，就在这漫长阶梯的尽头	What you seek lies at the end of these long stairs.	Lo que buscais está al final de estas largas escaleras.	Ce que vous cherchez se trouve au terme de ce long escalier.	Was Ihr sucht, liegt am Ende dieser endlosen Treppen.	Ciò di cui siete in cerca si trova alla fine di questa lunga scalinata.	あなたが求めるものは この長い階段の果てで待っています	당신이 찾는 것은 이 긴 계단 끝에 있어요.	O que você busca o aguarda no final desta longa escada.	То, что ты ищешь, лежит в конце этой длинной лестницы.
ST06_VIRIDIANA/DLG_0608_A_1	那些自称为真理与神圣真实的家伙，早就藏在那里了	That which proclaimed itself The True and Holy Truth has long been hiding there.	Hace mucho que aquello que se proclamaba La Verdad Santa y Pura se esconde allí.	Ce qui se proclame Vraie et Sainte Vérité s'y cache depuis longtemps.	Was sich selbst die Heilige Wahrheit nennt, hat sich lange hier verborgen.	"Colui che si autoproclamò ""Verità Pura e Santa"" si nasconde lì."	自らを真なる者 そして神聖なる真実と宣言するそれは@そこで延々と隠れていました	스스로 진실과 성스러운 진실로 선포한 그것이 오랫동안 그곳에 숨어 있었어요.	Aquilo que se proclamou a Verdade Real e Sagrada se esconde lá há muito tempo.	Здесь давно скрывается то, что провозгласило себя Истиной и Священной Правдой.
ST06_VIRIDIANA/DLG_0608_A_2	在那些门的后面，苦难本身正为它自己的混乱和残缺而哀叹	Behind those doors, The Affliction itself laments in its own confusion and deformity.	Tras las puertas, La Aflicción en sí misma se lamenta en su propia confusión y deformidad.	Derrière cette porte, l'affliction même se lamente de sa confusion et de sa difformité.	Hinter diesen Türen klagt das Leid selbst in all seiner Verwirrung und Missgestalt.	Dietro quelle porte, l'Afflizione stessa piange la propria confusione e deformità.	この扉の奥では 奇蹟たる苦痛そのものが混乱と奇形を抱えながら@嘆き悲しんでいます	이 문 뒤에서 고통은 자신의 혼란과 기형으로 홀로 한탄하고 있어요.	Atrás daquelas portas, a Aflição lamenta a própria confusão e deformidade.	За этими дверьми сама Скорбь завывает в смятении и уродстве своем.
ST06_VIRIDIANA/DLG_0608_A_3	征途漫漫，但你的任务已将终结	The journey has been long, but your task is about to be completed.	El camino ha sido largo, vuestro cometido está a punto de concluir.	Le voyage fut long, mais votre tâche touche à son terme.	Die Reise war lang, aber Eure Aufgabe steht kurz vor der Vollendung.	Il vostro viaggio sembrava interminabile, ma la vostra missione sta per essere compiuta.	長かった旅路 そしてあなたの使命は終わりを迎えようとしています	긴 여정이었지만, 당신의 소임도 곧 끝날 거예요.	A jornada foi longa, mas sua missão está prestes a ser concluída.	Путь был долгим, но долг твой скоро будет исполнен.
ST06_VIRIDIANA/DLG_0608_A_4	虽然我无法进入如此亵渎的居所，但这些话仍会对你不无裨益	Although I have been barred from entering such a slanderous abode, these words are free to accompany you.	Aunque se me ha vetado el paso a tal estancia calumniosa, estas palabras sí son libres de acompañaros.	Bien qu'il me soit de longue date interdit d'entrer dans une demeure si odieuse, ces paroles pourront vous accompagner.	Obwohl es mir verboten ist, eine so verleumderische Wohnstatt zu betreten, können diese Worte Euch begleiten.	A me è stato interdetto l'ingresso in una dimora tanto calunniosa, ma queste mie parole sono libere di scortarvi.	私自身は あのような中傷的な住居に入ることを禁じられています@ですが この言葉だけはあなたと共にあらんことを	전 이런 비방의 거처에 들어가는 것이 금지되어 있지만, 이 말씀은 자유롭게 당신과 함께할 거예요.	Embora eu não tenha permissão de entrar em uma morada tão caluniosa, estas palavras podem te acompanhar.	Хоть и запрещено мне входить в такие лживые места, эти слова да сопроводят тебя.
ST06_VIRIDIANA/DLG_0608_B_0	你所寻找的目标，就在这漫长阶梯的尽头	What you seek lies at the end of these long stairs.	Lo que buscais está al final de estas largas escaleras.	Ce que vous cherchez se trouve au terme de ce long escalier.	Was Ihr sucht, liegt am Ende dieser endlosen Treppen.	Ciò di cui siete in cerca si trova alla fine di questa lunga scalinata.	あなたが求めるものは この長い階段の果てで待っています	당신이 찾는 것은 이 긴 계단 끝에 있어요.	O que você busca o aguarda no final desta longa escada.	То, что ты ищешь, лежит в конце этой длинной лестницы.
ST06_VIRIDIANA/DLG_0608_B_1	那些自称为真理与神圣真实的家伙，早就藏在那里了	That which proclaimed itself The True and Holy Truth has long been hiding there.	Hace mucho que aquello que se proclamaba La Verdad Santa y Pura se esconde allí.	Ce qui se proclame Vraie et Sainte Vérité s'y cache depuis longtemps.	Was sich selbst die Heilige Wahrheit nennt, hat sich lange hier verborgen.	"Colui che si autoproclamò ""Verità Pura e Santa"" si nasconde lì."	自らを真なる者 そして神聖なる真実と宣言するそれは@そこで延々と隠れていました	스스로 진실과 성스러운 진실로 선포한 그것이 오랫동안 그곳에 숨어 있었어요.	Aquilo que se proclamou a Verdade Real e Sagrada se esconde lá há muito tempo.	Здесь давно скрывается то, что провозгласило себя Истиной и Священной Правдой.
ST06_VIRIDIANA/DLG_0608_B_2	在那些门的后面，苦难本身正为它自己的混乱和残缺而哀叹	Behind those doors, The Affliction itself laments in its own confusion and deformity.	Tras las puertas, La Aflicción en sí misma se lamenta en su propia confusión y deformidad.	Derrière cette porte, l'affliction même se lamente de sa confusion et de sa difformité.	Hinter diesen Türen klagt das Leid selbst in all seiner Verwirrung und Missgestalt.	Dietro quelle porte, l'Afflizione stessa piange la propria confusione e deformità.	この扉の奥では 奇蹟たる苦痛そのものが混乱と奇形を抱えながら@嘆き悲しんでいます	이 문 뒤에서 고통은 자신의 혼란과 기형으로 홀로 한탄하고 있어요.	Atrás daquelas portas, a Aflição lamenta a própria confusão e deformidade.	За этими дверьми сама Скорбь завывает в смятении и уродстве своем.
ST06_VIRIDIANA/DLG_0608_B_3	征途漫漫，但你的任务已将终结	The journey has been long, but your task is about to be completed.	El camino ha sido largo, vuestro cometido está a punto de concluir.	Le voyage fut long, mais votre tâche touche à son terme.	Die Reise war lang, aber Eure Aufgabe steht kurz vor der Vollendung.	Il vostro viaggio sembrava interminabile, ma la vostra missione sta per essere compiuta.	長かった旅路 そしてあなたの使命は終わりを迎えようとしています	긴 여정이었지만, 당신의 소임도 곧 끝날 거예요.	A jornada foi longa, mas sua missão está prestes a ser concluída.	Путь был долгим, но долг твой скоро будет исполнен.
ST06_VIRIDIANA/DLG_0608_B_4	虽然我无法进入如此亵渎的居所，但这些话仍会对你不无裨益	Although I have been barred from entering such a slanderous abode, these words are free to accompany you.	Aunque se me ha vetado el paso a tal estancia calumniosa, estas palabras sí son libres de acompañaros.	Bien qu'il me soit de longue date interdit d'entrer dans une demeure si odieuse, ces paroles pourront vous accompagner.	Obwohl es mir verboten ist, eine so verleumderische Wohnstatt zu betreten, können diese Worte Euch begleiten.	A me è stato interdetto l'ingresso in una dimora tanto calunniosa, ma queste mie parole sono libere di scortarvi.	私自身は あのような中傷的な住居に入ることを禁じられています@ですが この言葉だけはあなたと共にあらんことを	전 이런 비방의 거처에 들어가는 것이 금지되어 있지만, 이 말씀은 자유롭게 당신과 함께할 거예요.	Embora eu não tenha permissão de entrar em uma morada tão caluniosa, estas palavras podem te acompanhar.	Хоть и запрещено мне входить в такие лживые места, эти слова да сопроводят тебя.
ST06_VIRIDIANA/DLG_0608_C_0	你所寻找的目标，就在这漫长阶梯的尽头	What you seek lies at the end of these long stairs.	Lo que buscais está al final de estas largas escaleras.	Ce que vous cherchez se trouve au terme de ce long escalier.	Was Ihr sucht, liegt am Ende dieser endlosen Treppen.	Ciò di cui siete in cerca si trova alla fine di questa lunga scalinata.	あなたが求めるものは この長い階段の果てで待っています	당신이 찾는 것은 이 긴 계단 끝에 있어요.	O que você busca o aguarda no final desta longa escada.	То, что ты ищешь, лежит в конце этой длинной лестницы.
ST06_VIRIDIANA/DLG_0608_C_1	那些自称为真理与神圣真实的家伙，早就藏在那里了	That which proclaimed itself The True and Holy Truth has long been hiding there.	Hace mucho que aquello que se proclamaba La Verdad Santa y Pura se esconde allí.	Ce qui se proclame Vraie et Sainte Vérité s'y cache depuis longtemps.	Was sich selbst die Heilige Wahrheit nennt, hat sich lange hier verborgen.	"Colui che si autoproclamò ""Verità Pura e Santa"" si nasconde lì."	自らを真なる者 そして神聖なる真実と宣言するそれは@そこで延々と隠れていました	스스로 진실과 성스러운 진실로 선포한 그것이 오랫동안 그곳에 숨어 있었어요.	Aquilo que se proclamou a Verdade Real e Sagrada se esconde lá há muito tempo.	Здесь давно скрывается то, что провозгласило себя Истиной и Священной Правдой.
ST06_VIRIDIANA/DLG_0608_C_2	在那些门的后面，苦难本身正为它自己的混乱和残缺而哀叹	Behind those doors, The Affliction itself laments in its own confusion and deformity.	Tras las puertas, La Aflicción en sí misma se lamenta en su propia confusión y deformidad.	Derrière cette porte, l'affliction même se lamente de sa confusion et de sa difformité.	Hinter diesen Türen klagt das Leid selbst in all seiner Verwirrung und Missgestalt.	Dietro quelle porte, l'Afflizione stessa piange la propria confusione e deformità.	この扉の奥では 奇蹟たる苦痛そのものが混乱と奇形を抱えながら@嘆き悲しんでいます	이 문 뒤에서 고통은 자신의 혼란과 기형으로 홀로 한탄하고 있어요.	Atrás daquelas portas, a Aflição lamenta a própria confusão e deformidade.	За этими дверьми сама Скорбь завывает в смятении и уродстве своем.
ST06_VIRIDIANA/DLG_0608_C_3	征途漫漫，但你的任务已将终结	The journey has been long, but your task is about to be completed.	El camino ha sido largo, vuestro cometido está a punto de concluir.	Le voyage fut long, mais votre tâche touche à son terme.	Die Reise war lang, aber Eure Aufgabe steht kurz vor der Vollendung.	Il vostro viaggio sembrava interminabile, ma la vostra missione sta per essere compiuta.	長かった旅路 そしてあなたの使命は終わりを迎えようとしています	긴 여정이었지만, 당신의 소임도 곧 끝날 거예요.	A jornada foi longa, mas sua missão está prestes a ser concluída.	Путь был долгим, но долг твой скоро будет исполнен.
ST06_VIRIDIANA/DLG_0608_C_4	虽然我无法进入如此亵渎的居所，但这些话仍会对你不无裨益	Although I have been barred from entering such a slanderous abode, these words are free to accompany you.	Aunque se me ha vetado el paso a tal estancia calumniosa, estas palabras sí son libres de acompañaros.	Bien qu'il me soit de longue date interdit d'entrer dans une demeure si odieuse, ces paroles pourront vous accompagner.	Obwohl es mir verboten ist, eine so verleumderische Wohnstatt zu betreten, können diese Worte Euch begleiten.	A me è stato interdetto l'ingresso in una dimora tanto calunniosa, ma queste mie parole sono libere di scortarvi.	私自身は あのような中傷的な住居に入ることを禁じられています@ですが この言葉だけはあなたと共にあらんことを	전 이런 비방의 거처에 들어가는 것이 금지되어 있지만, 이 말씀은 자유롭게 당신과 함께할 거예요.	Embora eu não tenha permissão de entrar em uma morada tão caluniosa, estas palavras podem te acompanhar.	Хоть и запрещено мне входить в такие лживые места, эти слова да сопроводят тебя.
ST06_VIRIDIANA/DLG_0609_A_0	沉默的忏悔者，继续你的旅程吧。我会在远方守护着你	Penitent One in silence, now resume your journey. I will guard you from afar.	Penitente en el silencio, continuad ahora con vuestro viaje. Yo mientras velaré por vos.	Pénitent du silence, reprenez votre voyage. Je vous dispenserai ma protection de loin.	Stummer Büßer, setzt Eure Reise nun fort. Ich werde aus der Ferne über Euch wachen.	Ora proseguite il vostro cammino, Penitente senza voce. Io vi sorveglierò a distanza.	言葉紡がぬ悔悟者よ 旅を再開するのです@私は遠くから あなたを護ります	침묵의 참회자여, 이제 여정을 다시 재개하세요. 먼 곳에서 당신을 지켜줄게요.	Penitente silencioso, continue sua jornada. Protegerei você a distância.	А теперь продолжи свой путь, Безмолвно Кающийся. Я буду охранять тебя издали.
ST06_VIRIDIANA/DLG_0609_B_0	沉默的忏悔者，继续你的旅程吧。我会在远方守护着你	Penitent One in silence, now resume your journey. I will guard you from afar.	Penitente en el silencio, continuad ahora con vuestro viaje. Yo mientras velaré por vos.	Pénitent du silence, reprenez votre voyage. Je vous dispenserai ma protection de loin.	Stummer Büßer, setzt Eure Reise nun fort. Ich werde aus der Ferne über Euch wachen.	Ora proseguite il vostro cammino, Penitente senza voce. Io vi sorveglierò a distanza.	言葉紡がぬ悔悟者よ 旅を再開するのです@私は遠くから あなたを護ります	침묵의 참회자여, 이제 여정을 다시 재개하세요. 먼 곳에서 당신을 지켜줄게요.	Penitente silencioso, continue sua jornada. Protegerei você a distância.	А теперь продолжи свой путь, Безмолвно Кающийся. Я буду охранять тебя издали.
ST06_VIRIDIANA/DLG_0609_C_0	沉默的忏悔者，继续你的旅程吧。我会在远方守护着你	Penitent One in silence, now resume your journey. I will guard you from afar.	Penitente en el silencio, continuad ahora con vuestro viaje. Yo mientras velaré por vos.	Pénitent du silence, reprenez votre voyage. Je vous dispenserai ma protection de loin.	Stummer Büßer, setzt Eure Reise nun fort. Ich werde aus der Ferne über Euch wachen.	Ora proseguite il vostro cammino, Penitente senza voce. Io vi sorveglierò a distanza.	言葉紡がぬ悔悟者よ 旅を再開するのです@私は遠くから あなたを護ります	침묵의 참회자여, 이제 여정을 다시 재개하세요. 먼 곳에서 당신을 지켜줄게요.	Penitente silencioso, continue sua jornada. Protegerei você a distância.	А теперь продолжи свой путь, Безмолвно Кающийся. Я буду охранять тебя издали.
ST06_VIRIDIANA/DLG_QT_0601_0	沉默的忏悔者，你是否想在下个任务中寻求我的帮助？	Penitent One in silence, will you require my assistance with your next task?	Penitente en el silencio, ¿necesitaréis mi favor en vuestro siguiente cometido?	Pénitent du silence, aurez-vous besoin de mon aide pour votre prochaine entreprise ?	Stummer Büßer, werdet Ihr bei Eurer nächsten Aufgabe meine Unterstützung brauchen?	Penitente senza voce, richiederete il mio sostegno per il vostro prossimo incarico?	言葉紡がぬ悔悟者よ 次の責務にて 私の助けを欲しますか？	침묵의 참회자여, 다음 소임에 나의 도움이 필요한가요?	Penitente silencioso, você precisará da minha assistência com a sua próxima tarefa?	Безмолвно Кающийся, тебе потребуется моя помощь, чтобы выполнить долг твой?
ST06_VIRIDIANA/DLG_QT_0602_0	"我的守护不会就此而止。你是否想在下个任务中寻求我的帮助？ "	"My protection does not cease here. Will you require my assistance with your next task? "	Mi protección no termina aquí. ¿Necesitaréis mi favor en vuestro siguiente cometido?	"Ma protection ne s'arrête pas ici. Aurez-vous besoin de mon aide pour votre prochaine entreprise ? "	"Mein Schutz endet hier nicht. Werdet Ihr bei Eurer nächsten Aufgabe meine Unterstützung brauchen? "	"La mia protezione non finisce qui. Richiederete il mio sostegno per il vostro prossimo incarico? "	私の加護はまだ終わりません　次の責務にて 私の助けを欲しますか？	이곳에서도 나의 보호는 멈추기 않습니다. 다음 소임에 나의 도움이 필요한가요?	"Minha proteção não acaba aqui. Você precisará da minha assistência com a próxima tarefa? "	"Моя защита на этом не прекращается. Тебе потребуется моя помощь, чтобы выполнить долг твой? "
ST06_VIRIDIANA/DLG_QT_0603_0	忏悔者，你是否想在下个任务中寻求我的帮助？	Penitent One, will you require my assistance with your next task?	Penitente ¿Necesitaréis mi favor en vuestro siguiente cometido?	Pénitent, aurez-vous besoin de mon aide pour votre prochaine entreprise ?	Büßer, werdet Ihr bei Eurer nächsten Aufgabe meine Unterstützung brauchen?	Richiederete il mio sostegno per il vostro prossimo incarico, Penitente?	悔悟者よ 次の責務にて 私の助けを欲しますか？	참회자여, 다음 소임에 나의 도움이 필요한가요?	Penitente, você precisará da minha assistência com a próxima tarefa?	Кающийся, тебе потребуется моя помощь, чтобы выполнить долг твой?
ST07_GEMINO/DLG_0701_0	发自内心地忏悔与自省吧。你正站在基米诺的遗骸面前	Contrite and humiliated be the heart, Penitent One in silence. You stand before what remains of Gémino.	Corazón contrito y humillado sea, Penitente en el silencio. Estáis ante lo que queda de Gémino.	Que votre cœur soit humble et contrit, Pénitent du silence. Vous voici devant ce qui reste de Gémino.	Reuevoll und demütig sei das Herz, stummer Büßer. Ihr steht vor dem, was von Gémino blieb.	Che il cuore sia contrito e mortificato, Penitente silente. Vi trovate dinanzi a ciò che resta di Gémino.	心は後悔と屈辱に溢れています 言葉紡がぬ悔悟者よ@あなたの目の前にあるのは ジェミノであったものの残骸です	마음을 다해 뉘우치고 치욕을 당하세요, 침묵의 참회자여. 당신이 보고 있는 것은 제미노의 남은 부분입니다.	Arrependido e humilhado seja o coração, Penitente silencioso. Estás perante o que restou de Gémino.	Пусть сокрушается и унижается сердце, Безмолвно Кающийся. Ты стоишь перед останками Гемино.
ST07_GEMINO/DLG_0701_1	噢，别为我担心。寒冷是仁慈的，因为它能减轻我们的痛苦，使我们在死亡之前麻木	Oh, do not fret for me. The cold is merciful, for it relieves our pain and numbs us before it leads us to our deaths.	Oh, no os preocupéis por mí, el frío es misericordioso, pues nos alivia el dolor y nos adormece para llevarnos hacia la muerte.	Oh, ne craignez rien pour moi. Le froid est charitable, car il soulage notre douleur et nous engourdit avant de nous mener à la mort.	Oh, sorgt Euch nicht um mich. Die Kälte ist gnädig, denn sie lindert den Schmerz und betäubt uns, bevor sie uns in den Tod führt.	Oh, non datevi pena per me. Il gelo è misericordioso allevia la nostra sofferenza e ci annebbia la coscienza prima di condurci alla morte.	ああ 心配はご無用です　冷気は慈悲深い@痛みを和らげ 痛覚を麻痺させ 私たちを安らかに死へと導いてくれますから	오, 염려하지 마세요. 추위는 우리가 죽음에 이르기 전에 고통을 덜어주고 몸을 마비시키니 오히려 자비입니다.	Oh, não se aflija por mim. O frio é piedoso, pois ele alivia nossa dor e nos anestesia antes de conduzir à morte.	О, не бойся за меня. Мороз милосерден, ибо облегчает боль нашу и притупляет страдания, прежде чем оборвать жизни наши.
ST07_GEMINO/DLG_0701_2	也许其他人所说的奇迹已降临到我的头上，就在这个铁坟墓里，它令我们的痛苦愈发漫长…	Perhaps the Miracle the others spoke of has come to me, here in this iron tomb, lengthening distress more and more...	Puede que el Milagro del que hablaban los demás haya llegado a mí, aquí en este férreo sepulcro, haciendo que el desamparo dure más y más...	Le Miracle dont d'autres parlaient me sourit peut-être enfin, dans cette tombe de fer, pour prolonger encore et encore ma détresse...	Vielleicht ist das Mirakel, von dem die anderen sprachen, zu mir gekommen, hier in dieses eiserne Grab, das Leid endlos verlängernd ...	Può darsi che il Miracolo di cui parlavano sia giunto a me, in questa tomba di ferro, per prolungare la mia angoscia...	人々が奇蹟と呼ぶものが この鉄の墓にて 私にも訪れたのでしょう@この私の苦悩を長く より長く保つために……	어쩌면 다른 이들이 말한 기적이 내가 있는 이 철의 무덤으로 찾아와 고통이 점점 더 연장되는 걸지도...	Talvez o Milagre sobre o qual tantos falam tenha chegado até mim, aqui nesta tumba de ferro, prolongando a agonia sempre mais um pouco...	Может быть, Чудо, о коем говорят другие, пришло ко мне, в эту железную могилу, чтобы снова и снова продлить мучения мои...
ST07_GEMINO/DLG_0701_3	向你所指引的乐土前进，向那寒冷与炽热拥抱交融的地方…	To a promised land you direct your march, to the place where the frozen and the burning embrace in communion...	A comprometido lugar dirigís vuestra marcha, donde lo helado se abraza con lo ardiente en comunión...	Vers une terre promise vous dirigez vos pas, vers l'endroit où le gelé et le brûlé s'étreignent en communion...	In ein gelobtes Land sollt Ihr gehen, an den Ort, wo Eis und Feuer sich umarmen und vereinigen ...	Voi siete in marcia verso una terra promessa, verso un posto in cui i ghiacci e le fiamme convivono in un abbraccio...	あなたは約束の地へと 凍り付いた者と燃え上がる者が@一体となる地へと その足を運んでいます……	당신이 나아가는 약속의 땅으로, 성찬식에서 받아들이는 얼어붙고 타오르는 장소로...	Direcionaste tua marcha a uma terra prometida, até o local onde os congelados e os queimados se unem em comunhão...	В землю обетованную держишь ты путь, туда, где обнимаются в единстве замерзший и горящий...
ST07_GEMINO/DLG_0702_0	现在，让我麻木的手臂变成这棵枯萎橄榄树的另一根枝条吧	Now, let my numbed arm become another branch of this withered olive tree.	Ahora dejad que mi brazo entumecido se convierta en una rama más de este olivo marchito.	Que mon bras engourdi devienne une branche de plus dans cet olivier flétri.	Und nun lasst meinen tauben Arm zu einem weiteren Zweig dieses verwitterten Olivenbaumes werden.	Ora lasciate che il mio braccio intorpidito diventi un altro ramo di questo ulivo infruttifero.	さて 私のこの腕はこれから この枯れたオリーブの樹の枝と変わり果てます	이제 나의 감각 없는 팔이 이 시든 올리브 나무의 가지가 되게 하세요.	Agora, deixe meu braço adormecido se tornar mais um galho dessa oliveira seca.	Да станет окоченелая рука моя еще одной ветвью иссохшей оливы сей.
ST07_GEMINO/DLG_0702_1	快点，我还能听得见呼唤	Hurry up, I can still hear the call.	Daos prisa, todavía siento la llamada.	Vite, j'entends encore l'appel.	Beeilt Euch, ich kann den Ruf noch hören.	Presto, posso ancora udire la chiamata...	急いでください あの声は未だに私を呼んでいます	서두르세요, 아직 부름의 소리를 들을 수 있어요.	Rápido, ainda consigo ouvir o chamado.	Торопись, я все еще слышу зов.
